iter	Passed	Remaining
574	19392	14333
575	19413	14290
576	19429	14244
577	19436	14190
578	19449	14141
579	19509	14127
580	19520	14077
581	19548	14040
582	19572	13999
583	19597	13959
584	19611	13912
585	19630	13868
586	19654	13828
587	19688	13795
588	19710	13753
589	19746	13722
590	19769	13681
591	19780	13632
592	19821	13604
593	19849	13567
594	19859	13518
595	19892	13483
596	19956	13471
597	19987	13436
598	20016	13399
599	20047	13365
600	20072	13325
601	20101	13289
602	20108	13238
603	20133	13200
604	20163	13164
605	20223	13148
606	20254	13113
607	20267	13067
608	20303	13035
609	20327	12996
610	20348	12955
611	20369	12914
612	20405	12882
613	20445	12853
614	20451	12802
615	20519	12791
616	20535	12747
617	20588	12726
618	20593	12675
619	20602	12627
620	20652	12604
621	20679	12567
622	20714	12534
623	20746	12500
624	20769	12461
625	20806	12430
626	20813	12381
627	20832	12340
628	20867	12308
629	20905	12277
630	20951	12252
631	20982	12217
632	21017	12185
633	21054	12154
634	21061	12106
635	21117	12086
636	21150	12052
637	21206	12032
638	21240	11999
639	21263	11960
640	21330	11946
641	21336	11897
642	21342	11849
643	21350	11802
644	21361	11757
645	21405	11730
646	21450	11703
647	21474	11665
648	21560	11660
649	21602	11631
650	21675	11619
651	21701	11583
652	21740	11552
653	21803	11535
654	21826	11496
655	21833	11449
656	21841	11402
657	21847	11355
658	21854	11308
659	21894	11278
660	21906	11234
661	21913	11188
662	21921	11142
663	21931	11097
664	21965	11065
665	21990	11028
666	22024	10995
667	22057	10962
668	22092	10930
669	22113	10891
670	22189	10879
671	22212	10841
672	22254	10813
673	22317	10794
674	22337	10754
675	22396	10734
676	22420	10697
677	22525	10697
678	22583	10676
679	22611	10640
680	22620	10596
681	22628	10550
682	22635	10505
683	22655	10466
684	22686	10432
685	22710	10395
686	22718	10350
687	22760	10321
688	22778	10281
689	22787	10237
690	22793	10192
691	22835	10163
692	22842	10119
693	22884	10090
694	22913	10055
695	22942	10020
696	22987	9993
697	22995	9949
698	23038	9920
699	23100	9900
700	23147	9873
701	23186	9842
702	23220	9810
703	23289	9792
704	23370	9779
705	23379	9735
706	23412	9702
707	23478	9683
708	23522	9654
709	23563	9624
710	23604	9594
711	23641	9562
712	23648	9519
713	23660	9477
714	23720	9454
715	23733	9413
716	23760	9378
717	23801	9348
718	23857	9324
719	23891	9291
720	23928	9259
721	23981	9233
722	24018	9201
723	24041	9164
724	24051	9123
725	24087	9090
726	24117	9056
727	24138	9018
728	24188	8991
729	24236	8964
730	24305	8944
731	24330	8907
732	24357	8872
733	24387	8838
734	24405	8799
735	24429	8762
736	24459	8728
737	24471	8687
738	24505	8654
739	24521	8615
740	24546	8579
741	24563	8541
742	24571	8498
743	24635	8476
744	24641	8434
745	24701	8410
746	24730	8376
747	24756	8340
748	24767	8299
749	24782	8260
750	24795	8221
751	24810	8182
752	24838	8147
753	24858	8110
754	24883	8074
755	24890	8033
756	24928	8002
757	24938	7961
758	24945	7920
759	24961	7882
760	24971	7842
761	24990	7805
762	25019	7771
763	25047	7737
764	25071	7701
765	25110	7670
766	25145	7638
767	25165	7602
768	25193	7567
769	25233	7537
770	25289	7511
771	25297	7471
772	25335	7440
773	25365	7406
774	25373	7366
775	25380	7326
776	25404	7291
777	25421	7254
778	25447	7219
779	25453	7179
780	25460	7139
781	25471	7100
782	25486	7063
783	25493	7023
784	25500	6984
785	25538	6953
786	25556	6916
787	25584	6883
788	25594	6844
789	25625	6811
790	25646	6776
791	25653	6737
792	25689	6705
793	25712	6671
794	25718	6631
795	25736	6595
796	25766	6562
797	25793	6529
798	25799	6490
799	25813	6453
800	25824	6415
801	25858	6384
802	25884	6350
803	25889	6311
804	25895	6272
805	25902	6234
806	25974	6211
807	26007	6179
808	26027	6145
809	26032	6106
810	26037	6067
811	26042	6029
812	26047	5991
813	26074	5958
814	26081	5920
815	26127	5891
816	26137	5854
817	26201	5829
818	26221	5794
819	26252	5762
820	26283	5730
821	26312	5697
822	26329	5662
823	26342	5626
8826	26333	5508
827	26362	5476
828	26381	5441
829	26403	5407
830	26437	5376
831	26470	5344
832	26483	5309
833	26496	5273
834	26504	5237
835	26509	5200
836	26530	5166
837	26534	5129
838	26558	50968839	26575	50628840	26594	5028839	26668	5079
840	26702	5048
841	26746	5018
842	26782	4987
843	26841	4961
844	26888	4932
845	26900	4896
846	26995	4876
847	27017	4842
848	27029	4807
849	27041	4771
850	27049	4736
851	27058	4700
852	27082	4667
853	27091	4631
854	27144	4603
855	27182	4572
856	27196	4538
857	27233	4507
858	27259	4474
859	27265	4438
860	27279	4403
861	27304	4371
862	27319	4336
863	27395	4312
864	27414	4278
865	27449	4247
